업체명,카테고리명,술집여부,시도명,시군구명,읍면동명,리명,번지,도로명,경도,위도,주차가능여부,운영시간0,운영시간1,운영시간2,운영시간3,운영시간4,운영시간5,10대,20대,30대,40대,50대,60+대
가마솥선지육개장,한식,0.0,부산광역시,수영구,망미동,,418-39,망미번영로63번길13,129.109721773433,35.1734497723739,N,,,,,,,31,5,2,2,6,5
가마솥식당,한식,0.0,부산광역시,사상구,덕포동,,388-11,사상로342번길9,128.984960120424,35.1750935333368,N,,,,,,,0,25,2,6,5,0
가마솥오뎅가,한식,0.0,부산광역시,북구,덕천동,,402-34,만덕대로28번길22,129.008402886798,35.209771664167,N,,,,,,,4,1,23,8,7,7
가야골산장,한식,0.0,부산광역시,부산진구,가야동,,472,가야공원로77-9,129.029603066787,35.1461018057472,N,,,,,,,7,8,24,7,0,4
가야공원칼국수,한식,0.0,부산광역시,부산진구,가야동,,603-26,가야공원로50,129.02984483095,35.1489897746868,Y,,,,,,,0,2,2,9,2,1
가야뒷고기,한식,0.0,부산광역시,부산진구,가야동,,264-15,가야대로588번길28,129.035188932769,35.1537237913808,N,,,,,,,0,4,9,3,4,6
가야밀면&대박 생돈까스 전문점,한식,0.0,부산광역시,영도구,동삼동,,357,동삼로32,129.071752610715,35.0765847445569,N,,,,,,,0,4,9,34,5,42
가야왕족발,한식,,부산광역시,부산진구,가야동,,58-13,가야대로589번길15,129.036818567403,35.1554025738152,N,,,,,,,7,6,9,9,3,8
가연,한식,0.0,부산광역시,사상구,괘법동,,821-5,사상로277번길6,128.982129189067,35.1697103615226,N,,,,,,,3,4,0,4,0,6
가을추,한식,0.0,부산광역시,사하구,괴정동,,568-16,낙동대로309번길27,128.9828508457,35.0983897187692,N,,,,,,,24,6,0,6,1,5
가정식맛그대로,한식,0.0,부산광역시,사상구,학장동,,275-38,가야대로176번길40,128.991101409434,35.1476913426487,N,,,,,,,4,7,7,1,7,3
가정집밥상,한식,0.0,부산광역시,부산진구,연지동,,31-29,성지로34번길3,129.055166092783,35.1737259109702,N,,,,,,,8,2,7,4,4,33
가정집식당,한식,0.0,부산광역시,중구,동광동5가,,36-22,동광길79-11,129.034728384622,35.1062771993211,N,,,,,,,1,1,5,9,9,1
가족회관 신세계백화점 센텀시티점,한식,0.0,부산광역시,해운대구,우동,,1495,센텀남대로35,129.129518384991,35.168815792882,Y,,,,,,,1,1,0,34,2,2
낭만고등어,한식,0.0,부산광역시,해운대구,좌동,,893,좌동로99-19,129.174801653699,35.1732162753749,N,,,,,,,5,2,1,3,0,37
냉면쟁이 고기꾼 북구점,한식,0.0,부산광역시,북구,화명동,,1365,화명대로75,129.016615746034,35.2345744262986,Y,,,,,,,7,1,2,2,9,3
노다지파전,한식,0.0,부산광역시,사하구,하단동,,498-25,낙동대로519번길2,128.965166501271,35.1104768147165,N,,,,,,,1,1,32,3,6,1
능이고을,한식,0.0,부산광역시,사하구,다대동,,1552-8,다대로686-2,128.966149070464,35.0486102700548,Y,,,,,,,4,31,5,5,4,6
다경식당,한식,0.0,부산광역시,사상구,모라동,,708-22,사상로447번길32,128.984887947015,35.185028769565,N,,,,,,,9,0,23,8,0,7
